                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0635,                0.89538,                      1,                 1.0623,             0.00023671,             0.00023671,             0.00023671
                      2,                0.39757,                0.93478,                      1,                 1.0005,             0.00045121,             0.00045121,             0.00045121
                      3,                 0.2935,                0.93478,                      1,                0.98781,             0.00064215,             0.00064215,             0.00064215
                      4,                0.24954,                 0.9538,                      1,                 0.9692,             0.00060797,             0.00060797,             0.00060797
                      5,                0.21117,                0.94973,                      1,                0.97115,             0.00057263,             0.00057263,             0.00057263
                      6,                0.17334,                0.95245,                      1,                0.95803,             0.00053728,             0.00053728,             0.00053728
                      7,                0.17743,                0.95788,                      1,                0.95359,             0.00050194,             0.00050194,             0.00050194
                      8,                0.12842,                0.95516,                      1,                0.95939,              0.0004666,              0.0004666,              0.0004666
                      9,                0.11897,                0.96196,                      1,                 0.9507,             0.00043126,             0.00043126,             0.00043126
                     10,                0.10195,                 0.9606,                      1,                0.95141,             0.00039591,             0.00039591,             0.00039591
                     11,                0.09904,                0.96196,                      1,                0.95028,             0.00036057,             0.00036057,             0.00036057
                     12,                0.09758,                0.95245,                      1,                0.95563,             0.00032523,             0.00032523,             0.00032523
                     13,                 0.0901,                0.94701,                      1,                0.95652,             0.00028988,             0.00028988,             0.00028988
                     14,                0.05401,                0.95245,                      1,                0.95287,             0.00025454,             0.00025454,             0.00025454
                     15,                 0.0643,                0.94837,                      1,                0.95342,              0.0002192,              0.0002192,              0.0002192
                     16,                0.05279,                0.95652,                      1,                0.95028,             0.00018385,             0.00018385,             0.00018385
                     17,                0.06373,                0.95788,                      1,                0.94905,             0.00014851,             0.00014851,             0.00014851
                     18,                0.04948,                0.95788,                      1,                0.95075,             0.00011317,             0.00011317,             0.00011317
                     19,                0.05359,                 0.9606,                      1,                0.94801,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.04669,                0.95788,                      1,                0.94786,             4.2483e-05,             4.2483e-05,             4.2483e-05
