                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7217,                 2.6413,                 1.0369,                0.84419,                 0.7971,                0.86691,                 0.5439,                 1.2205,                0.91243,                0.92368,                0.00042,                0.00042,                0.00042
                      2,                 1.2529,                0.84564,                0.93218,                0.92178,                0.88406,                0.93958,                0.65451,                 1.0029,                0.73535,                0.85689,             0.00081743,             0.00081743,             0.00081743
                      3,                 1.4047,                 0.8148,                0.93071,                0.94354,                0.89855,                0.92591,                0.57163,                 1.1287,                0.73852,                0.90263,              0.0011713,              0.0011713,              0.0011713
                      4,                 1.2796,                 0.7032,                0.93322,                0.93998,                0.90799,                0.96298,                0.56716,                 1.2449,                0.91353,                 1.0041,              0.0014816,              0.0014816,              0.0014816
                      5,                 1.2337,                0.65635,                0.91984,                0.88444,                0.89855,                0.94629,                0.62153,                 1.1049,                0.74785,                0.90677,               0.001604,               0.001604,               0.001604
                      6,                 1.2758,                 0.7261,                0.92729,                0.94269,                0.95354,                0.97165,                0.67486,                0.99314,                0.65261,                0.89571,               0.001505,               0.001505,               0.001505
                      7,                 1.1683,                0.65474,                0.91107,                0.95574,                0.94203,                0.97107,                0.64349,                 1.0274,                0.66855,                 0.8958,               0.001406,               0.001406,               0.001406
                      8,                 1.2369,                0.68014,                 0.9344,                0.90229,                0.82609,                0.91693,                0.64676,                 1.0162,                0.65114,                0.87785,               0.001307,               0.001307,               0.001307
                      9,                 1.1751,                0.64989,                0.91758,                0.96781,                0.87135,                  0.948,                0.65917,                0.98858,                0.58526,                 0.9025,               0.001208,               0.001208,               0.001208
                     10,                 1.1722,                0.62475,                0.95072,                0.96182,                0.63768,                0.75513,                0.55797,                0.93299,                 1.5453,                0.85154,               0.001109,               0.001109,               0.001109
                     11,                 1.0265,                0.56993,                0.90552,                0.92783,                0.93165,                 0.9826,                0.71208,                0.92143,                0.51651,                0.85512,                0.00101,                0.00101,                0.00101
                     12,                 1.0212,                0.58566,                0.90042,                0.94411,                0.97922,                0.98949,                0.69027,                0.96058,                0.52016,                0.85699,               0.000911,               0.000911,               0.000911
                     13,                 1.0664,                0.59395,                0.90959,                0.93836,                0.88254,                0.96171,                  0.676,                0.90439,                0.57981,                0.84455,               0.000812,               0.000812,               0.000812
                     14,                0.94763,                0.55641,                0.87602,                0.93001,                0.96296,                0.97149,                 0.6987,                0.92246,                0.55185,                0.84098,               0.000713,               0.000713,               0.000713
                     15,                0.99605,                0.54858,                0.87368,                0.96752,                0.94203,                0.97915,                0.74757,                0.84176,                0.50912,                0.83682,               0.000614,               0.000614,               0.000614
                     16,                0.94634,                 0.5286,                0.86324,                0.98506,                0.95584,                0.98504,                0.71112,                  0.906,                0.52144,                0.85359,               0.000515,               0.000515,               0.000515
                     17,                0.94702,                0.51719,                0.88143,                0.95345,                0.97101,                0.97197,                0.71334,                0.84733,                0.48344,                0.84068,               0.000416,               0.000416,               0.000416
                     18,                0.91423,                0.50214,                0.89042,                0.95145,                0.97101,                0.97943,                0.72786,                0.80551,                0.46797,                0.82718,               0.000317,               0.000317,               0.000317
                     19,                0.88655,                0.47375,                0.85201,                0.93938,                0.97101,                0.98689,                0.74319,                0.79362,                0.45674,                0.82603,               0.000218,               0.000218,               0.000218
                     20,                0.86206,                0.48068,                0.87316,                0.97095,                0.96867,                0.98935,                0.75451,                0.76332,                0.44672,                0.82423,               0.000119,               0.000119,               0.000119
