                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59724,                 2.4607,                 1.1865,                0.48008,                    0.5,                0.41469,                0.36562,                0.33261,                  2.238,                 1.0825,                  6e-05,                  6e-05,                  6e-05
                      2,                0.78422,                 2.6337,                 1.4083,                0.68016,                0.60353,                0.61058,                0.56199,                0.32062,                 5.3241,                 1.0412,             0.00013307,             0.00013307,             0.00013307
                      3,                0.51547,                 1.4237,                 1.1742,                0.83206,                0.86486,                0.93374,                0.85387,                0.34199,                 3.7833,                 1.0246,             0.00019822,             0.00019822,             0.00019822
                      4,                0.39636,                 1.0147,                 1.0032,                0.79543,                0.97297,                0.93319,                0.85295,                0.41819,                 1.5079,                 1.0939,             0.00025545,             0.00025545,             0.00025545
                      5,                0.41533,                0.79823,                 1.0628,                0.96044,                0.65623,                0.85096,                0.75867,                0.45572,                 2.0333,                 1.1422,             0.00030476,             0.00030476,             0.00030476
                      6,                0.42718,                0.75973,                 1.0818,                0.94635,                0.95349,                0.97899,                0.89519,                0.45684,                  1.773,                 1.1605,             0.00034615,             0.00034615,             0.00034615
                      7,                0.39601,                0.59622,                0.99307,                0.82048,                0.98649,                0.95841,                0.76993,                0.44301,                 2.2702,                 1.1148,             0.00037962,             0.00037962,             0.00037962
                      8,                0.42633,                0.58686,                  1.069,                0.79934,                0.93243,                0.94366,                0.68494,                0.87787,                 1.9317,                 1.4746,             0.00040517,             0.00040517,             0.00040517
                      9,                0.44254,                0.53191,                 1.0664,                0.91768,                0.90383,                0.94765,                0.76071,                0.52237,                 1.4997,                 1.1399,              0.0004228,              0.0004228,              0.0004228
                     10,                0.39619,                0.58022,                 1.0545,                0.79837,                0.91892,                 0.9125,                0.80307,                 0.5005,                 1.1053,                 1.0787,             0.00043251,             0.00043251,             0.00043251
                     11,                0.33833,                0.80827,                0.94087,                0.83106,                0.87838,                0.90178,                0.80641,                0.46361,                 1.5794,                 1.0375,              0.0004343,              0.0004343,              0.0004343
                     12,                0.34987,                 0.6219,                0.92007,                0.83376,                0.87838,                0.89494,                0.76332,                0.54601,                 1.0228,                 1.1424,             0.00042817,             0.00042817,             0.00042817
                     13,                0.37828,                 0.6134,                0.91182,                0.73717,                0.94755,                0.91709,                0.81262,                0.48845,                 1.2524,                 1.1204,             0.00041412,             0.00041412,             0.00041412
                     14,                0.33401,                0.47027,                0.95338,                0.78253,                0.92391,                0.91038,                0.83957,                0.35092,                 1.0218,                0.96323,             0.00039215,             0.00039215,             0.00039215
                     15,                0.31822,                0.43801,                0.92749,                0.96956,                0.97297,                0.96763,                0.88903,                 0.3258,                0.71815,                0.94369,             0.00036226,             0.00036226,             0.00036226
                     16,                0.28197,                0.41329,                0.90432,                0.98231,                0.97297,                0.96865,                0.88678,                0.35695,                0.62063,                0.97289,             0.00032445,             0.00032445,             0.00032445
                     17,                0.30621,                0.40183,                 0.8882,                0.99699,                0.97297,                0.99153,                0.92711,                0.35653,                0.52053,                0.96565,             0.00027872,             0.00027872,             0.00027872
                     18,                0.27874,                0.39526,                0.91834,                      1,                0.99959,                  0.995,                0.92572,                0.33139,                0.48051,                0.93678,             0.00022507,             0.00022507,             0.00022507
                     19,                0.27472,                0.36602,                0.97223,                0.99922,                      1,                  0.995,                0.93031,                0.32114,                0.47916,                0.93053,              0.0001635,              0.0001635,              0.0001635
                     20,                0.32941,                  0.394,                0.95565,                0.99929,                      1,                  0.995,                0.93295,                0.30522,                0.46087,                0.91838,              9.401e-05,              9.401e-05,              9.401e-05
